Timestamp,P (W),S (VA),Q (VAR),Irms (A),Vrms (V),Pf,F (Hz),Appliance
2024-10-27 16:10:06,-0.14,13.81,13.81,0.05,277.18,0.01,49.96,No Appliance Detected
2024-10-27 16:10:06,0.15,16.21,16.21,0.058,277.93,0.009,49.96,No Appliance Detected
2024-10-27 16:10:06,-0.09,15.37,15.37,0.055,279.2,0.006,49.96,No Appliance Detected
2024-10-27 16:10:08,0.23,15.8,15.8,0.057,277.25,0.014,49.98,No Appliance Detected
2024-10-27 16:10:08,0.19,15.02,15.02,0.054,276.62,0.013,49.98,No Appliance Detected
2024-10-27 16:10:08,0.27,16.25,16.24,0.059,277.21,0.017,49.98,No Appliance Detected
2024-10-27 16:10:10,0.49,15.05,15.04,0.054,277.47,0.033,49.99,No Appliance Detected
2024-10-27 16:10:10,-0.21,14.89,14.88,0.054,277.98,0.014,49.99,No Appliance Detected
2024-10-27 16:10:10,-0.14,14.17,14.17,0.051,276.89,0.01,49.99,No Appliance Detected
2024-10-27 16:10:12,-0.07,15.64,15.64,0.056,278.65,0.004,49.96,No Appliance Detected
2024-10-27 16:10:12,0.06,17.26,17.26,0.062,277.44,0.003,49.96,No Appliance Detected
2024-10-27 16:10:12,0.1,14.38,14.37,0.052,277.61,0.007,49.96,No Appliance Detected
2024-10-27 16:10:14,-0.22,13.81,13.81,0.05,276.85,0.016,49.93,No Appliance Detected
2024-10-27 16:10:14,-0.09,16.1,16.1,0.058,276.7,0.006,49.93,No Appliance Detected
2024-10-27 16:10:14,-0.66,15.71,15.7,0.057,276.46,0.042,49.93,No Appliance Detected
2024-10-27 16:10:17,100.36,107.05,37.26,0.386,277.43,0.937,49.95,fan
2024-10-27 16:10:17,632.96,636.8,69.85,2.305,276.32,0.994,49.95,heater
2024-10-27 16:10:17,0.07,14.77,14.77,0.053,277.38,0.005,49.95,No Appliance Detected
2024-10-27 16:10:19,95.66,102.59,37.06,0.372,276.0,0.932,49.92,fan
2024-10-27 16:10:19,627.44,631.29,69.61,2.292,275.4,0.994,49.92,heater
2024-10-27 16:10:19,934.78,942.79,122.7,3.407,276.76,0.991,49.92,toaster
2024-10-27 16:10:21,90.72,98.05,37.18,0.357,274.72,0.925,49.94,fan
2024-10-27 16:10:21,628.64,632.33,68.23,2.289,276.21,0.994,49.94,heater
2024-10-27 16:10:21,928.01,934.54,110.24,3.392,275.53,0.993,49.94,toaster
2024-10-27 16:10:23,84.65,92.0,36.03,0.333,275.87,0.92,49.91,fan
2024-10-27 16:10:23,627.45,631.88,74.71,2.286,276.36,0.993,49.91,heater
2024-10-27 16:10:23,924.74,931.72,113.88,3.386,275.13,0.993,49.91,toaster
2024-10-27 16:10:25,84.14,91.15,35.05,0.33,276.17,0.923,49.92,fan
2024-10-27 16:10:25,624.46,628.32,69.57,2.285,274.97,0.994,49.92,heater
2024-10-27 16:10:25,926.24,932.84,110.76,3.384,275.64,0.993,49.92,toaster
2024-10-27 16:10:27,84.58,91.39,34.62,0.33,276.74,0.925,49.93,fan
